id,timestamp,cpu_percent,memory_percent,disk_percent,net_sent_total_mb,net_recv_total_mb,net_sent_delta_mb,net_recv_delta_mb,uptime_seconds
6386,2026-03-02T10:48:00.640015,34.0,69.2,77.0,7.29102897644043,777.9613380432129,1.3273582458496094,49.16488456726074,898.0003943443298
6387,2026-03-02T10:49:00.691349,15.4,68.4,77.0,7.709029197692871,850.5956726074219,0.4180002212524414,72.63433456420898,958.0009622573853
6388,2026-03-02T10:50:00.658319,74.5,64.4,77.0,8.075630187988281,918.3473176956177,0.36660099029541016,67.7516450881958,1018.0003728866577
6389,2026-03-02T10:51:00.631595,21.2,65.2,77.0,8.769786834716797,973.7621717453003,0.6941566467285156,55.41485404968262,1078.0010097026825
6390,2026-03-02T10:52:00.670522,55.2,65.5,77.0,9.16048526763916,1044.1553888320923,0.3906984329223633,70.39321708679199,1138.0006427764893
6391,2026-03-02T10:53:01.750320,86.9,66.7,77.1,9.963949203491211,1155.523094177246,0.8034639358520508,111.36770534515381,1199.0006077289581
6392,2026-03-02T10:54:00.645277,16.0,66.2,77.1,10.60205364227295,1343.262336730957,0.6381044387817383,187.73924255371094,1258.0004317760468
6393,2026-03-02T10:55:00.666339,21.6,64.3,77.1,10.975959777832031,1416.1770486831665,0.37390613555908203,72.91471195220947,1318.0004532337189
6394,2026-03-02T10:56:00.635152,5.2,63.9,77.1,11.169609069824219,1452.634934425354,0.1936492919921875,36.4578857421875,1378.000641822815
6395,2026-03-02T10:57:00.641742,10.6,63.6,77.1,11.219849586486816,1452.7064790725708,0.050240516662597656,0.07154464721679688,1438.0000069141388
6396,2026-03-02T10:58:00.638388,9.8,62.7,77.1,12.000144958496094,1628.968716621399,0.7802953720092773,176.26223754882812,1498.000837802887
6397,2026-03-02T10:59:00.645614,6.7,63.0,77.1,12.418440818786621,1675.5152854919434,0.41829586029052734,46.546568870544434,1558.0000689029694
6398,2026-03-02T11:00:00.635619,6.2,61.1,77.1,12.685102462768555,1727.7471408843994,0.2666616439819336,52.231855392456055,1618.0000450611115
6399,2026-03-02T11:01:00.636675,10.2,61.0,77.1,12.87906551361084,1761.215576171875,0.19396305084228516,33.468435287475586,1677.9999957084656
6400,2026-03-02T11:02:00.644340,9.6,60.8,77.1,13.083868026733398,1808.7556867599487,0.2048025131225586,47.54011058807373,1738.0008070468903
6401,2026-03-02T11:03:00.643814,11.8,60.3,77.1,13.307391166687012,1854.8934965133667,0.22352313995361328,46.13780975341797,1798.0009710788727
6402,2026-03-02T11:04:00.657656,29.5,60.6,77.1,13.550929069519043,1894.2892408370972,0.24353790283203125,39.39574432373047,1858.0004224777222
6403,2026-03-02T11:05:00.639023,11.5,59.9,77.1,13.736288070678711,1933.0243301391602,0.18535900115966797,38.73508930206299,1918.0000367164612
6404,2026-03-02T11:06:00.645584,12.4,61.9,77.1,14.16734504699707,1976.2983255386353,0.4310569763183594,43.2739953994751,1978.0004670619965
6405,2026-03-02T11:07:00.647485,1.0,59.7,77.1,14.396109580993652,1980.2667036056519,0.22876453399658203,3.9683780670166016,2038.0000545978546
6406,2026-03-02T11:08:00.643539,13.2,59.4,77.1,14.4370756149292,1980.3651609420776,0.040966033935546875,0.09845733642578125,2098.00089097023
6407,2026-03-02T11:09:00.661722,18.6,59.8,77.1,14.473724365234375,1980.447283744812,0.03664875030517578,0.082122802734375,2158.0000128746033
6408,2026-03-02T11:10:00.656930,41.3,60.2,77.1,14.505866050720215,1980.5867042541504,0.032141685485839844,0.1394205093383789,2218.000669002533
6409,2026-03-02T11:11:00.668341,32.4,64.6,77.2,14.778725624084473,2034.4659547805786,0.2728595733642578,53.87925052642822,2278.0000607967377
6410,2026-03-02T11:12:04.474369,20.2,65.6,77.2,14.872711181640625,2034.5877017974854,0.09398555755615234,0.12174701690673828,2342.000855445862
6411,2026-03-02T11:13:02.676973,10.6,63.9,77.3,14.934868812561035,2034.7136402130127,0.062157630920410156,0.12593841552734375,2400.000880241394
6412,2026-03-02T11:14:00.853039,20.4,67.6,77.3,15.020971298217773,2035.8885164260864,0.08610248565673828,1.1748762130737305,2458.0007288455963
6413,2026-03-02T11:15:00.799881,14.4,70.1,77.3,15.290861129760742,2074.207018852234,0.26988983154296875,38.31850242614746,2518.0003731250763
6414,2026-03-02T11:16:00.644466,19.2,66.6,77.3,15.605459213256836,2129.168007850647,0.31459808349609375,54.960988998413086,2578.000609397888
6415,2026-03-02T11:17:00.645388,20.8,67.0,77.3,15.892090797424316,2211.4453268051147,0.28663158416748047,82.27731895446777,2638.0003530979156
6416,2026-03-02T11:18:00.635403,12.4,67.2,77.3,16.13467311859131,2258.4038429260254,0.2425823211669922,46.958516120910645,2698.0000784397125
6417,2026-03-02T11:19:00.656699,14.7,67.4,77.3,16.395291328430176,2316.755051612854,0.2606182098388672,58.35120868682861,2758.000504255295
6418,2026-03-02T11:20:00.634280,15.3,67.0,77.3,16.579190254211426,2353.4804859161377,0.18389892578125,36.72543430328369,2818.00048661232
6419,2026-03-02T11:21:00.642548,15.4,64.2,77.3,16.816186904907227,2399.9118432998657,0.23699665069580078,46.43135738372803,2878.000576734543
6420,2026-03-02T11:22:00.644861,35.5,62.0,77.3,17.035354614257812,2451.4546699523926,0.21916770935058594,51.542826652526855,2938.00004029274
6421,2026-03-02T11:23:00.642576,17.1,61.1,77.3,17.293994903564453,2524.111463546753,0.2586402893066406,72.65679359436035,2998.0003085136414
6422,2026-03-02T11:24:00.638748,16.3,62.0,77.3,17.619361877441406,2590.6634464263916,0.3253669738769531,66.55198287963867,3058.0005025863647
6423,2026-03-02T11:25:00.646755,13.5,62.0,77.3,17.750861167907715,2619.441040992737,0.1314992904663086,28.777594566345215,3118.000469684601
6424,2026-03-02T11:26:00.650543,14.3,61.1,77.3,17.80746364593506,2619.483564376831,0.05660247802734375,0.04252338409423828,3178.0007133483887
6425,2026-03-02T11:27:00.626686,7.8,61.4,77.3,18.384804725646973,2660.442530632019,0.5773410797119141,40.95896625518799,3238.000071287155
6426,2026-03-02T11:28:00.649173,5.8,61.2,77.3,18.677152633666992,2724.4642848968506,0.29234790802001953,64.02175426483154,3298.0003526210785
6427,2026-03-02T11:29:00.642522,35.6,61.4,77.3,18.913012504577637,2775.2415857315063,0.23585987091064453,50.77730083465576,3358.0006561279297
6428,2026-03-02T11:30:00.665566,15.3,61.7,77.3,19.136752128601074,2826.968626976013,0.2237396240234375,51.727041244506836,3418.0009269714355
6429,2026-03-02T11:31:00.631992,5.8,61.4,77.3,19.34137535095215,2868.6439447402954,0.20462322235107422,41.67531776428223,3478.000072002411
6430,2026-03-02T11:32:00.633337,3.8,61.3,77.3,19.55778980255127,2911.6264085769653,0.2164144515991211,42.98246383666992,3538.0001308918
6431,2026-03-02T11:33:00.660954,4.8,63.6,77.3,19.96557331085205,2970.2750511169434,0.40778350830078125,58.64864253997803,3598.000036239624
6432,2026-03-02T11:34:00.649189,49.1,63.6,77.3,20.30850601196289,3001.0569591522217,0.34293270111083984,30.78190803527832,3658.0005543231964
6433,2026-03-02T11:35:00.652581,9.5,64.9,77.3,20.501502990722656,3016.0032052993774,0.19299697875976562,14.946246147155762,3718.0000269412994
6434,2026-03-02T11:36:00.691001,14.4,63.0,77.3,20.666593551635742,3034.570978164673,0.16509056091308594,18.56777286529541,3778.000829219818
6435,2026-03-02T11:37:00.641521,13.0,62.3,77.3,20.97828483581543,3069.2204875946045,0.3116912841796875,34.64950942993164,3837.9999952316284
6436,2026-03-02T11:38:00.650532,31.2,62.3,77.3,21.213937759399414,3123.7762517929077,0.23565292358398438,54.55576419830322,3898.0003774166107
6437,2026-03-02T11:39:00.638733,9.1,63.5,77.3,21.524601936340332,3165.0756311416626,0.31066417694091797,41.29937934875488,3958.000878095627
6438,2026-03-02T11:40:00.665189,35.6,62.4,77.3,21.78410243988037,3222.3860998153687,0.25950050354003906,57.310468673706055,4017.9999940395355
6439,2026-03-02T11:41:00.650654,2.1,61.3,77.3,21.99636936187744,3247.8655281066895,0.2122669219970703,25.4794282913208,4078.000006914139
6440,2026-03-02T11:42:00.650406,9.1,61.2,77.3,22.01750946044922,3247.9137659072876,0.021140098571777344,0.04823780059814453,4138.000560283661
6441,2026-03-02T11:43:00.651986,21.4,60.7,77.3,22.045443534851074,3247.943895339966,0.02793407440185547,0.030129432678222656,4198.00027346611
6442,2026-03-02T11:44:00.644317,3.1,60.9,77.3,22.102477073669434,3248.135661125183,0.057033538818359375,0.19176578521728516,4258.000190258026
