timestamp,cpu_percent,memory_percent,disk_percent,net_sent,net_recv
2025-12-08T10:52:50.935009,22.4,85.8,71.5,46.876914978027344,167.77025413513184
2025-12-08T10:56:29.632142,15.2,84.4,71.5,48.23063945770264,187.8990707397461
2025-12-08T10:57:50.998432,20.5,84.4,71.5,48.64810085296631,192.84167575836182
2025-12-08T11:01:29.428744,11.6,83.7,71.5,50.22456741333008,198.6143560409546
2025-12-08T11:02:50.949042,32.2,84.2,71.5,50.779319763183594,201.2953586578369
2025-12-08T11:06:29.647207,66.0,78.3,71.6,53.225345611572266,210.83539390563965
2025-12-08T11:07:50.949860,23.6,76.4,71.6,53.54003620147705,211.32254219055176
2025-12-08T11:11:29.569779,69.5,85.5,71.8,56.26198768615723,397.66042041778564
2025-12-08T11:12:51.009078,62.4,89.5,71.9,56.71652317047119,522.6845006942749
2025-12-08T11:16:29.536440,23.7,93.6,72.0,59.06404113769531,567.6803121566772
2025-12-08T11:17:50.968524,44.5,93.3,72.0,59.206438064575195,567.8350419998169
2025-12-08T11:21:29.560508,68.0,91.9,72.2,60.1721887588501,568.9680681228638
2025-12-08T11:22:50.989125,42.6,91.7,72.2,60.57735729217529,569.4282541275024
2025-12-08T11:26:29.552495,56.0,93.9,72.3,62.41573905944824,573.8771123886108
2025-12-08T11:27:50.948268,42.9,92.8,72.3,62.89588260650635,577.824089050293
2025-12-08T11:31:29.551243,67.7,92.2,72.3,63.85360527038574,582.8226280212402
2025-12-08T11:32:50.956933,40.5,92.3,72.3,64.87720108032227,584.1738405227661
2025-12-08T11:36:29.480466,34.0,91.5,72.2,66.25087547302246,585.187858581543
2025-12-08T11:37:50.957217,33.9,87.3,72.2,66.54718399047852,585.4189367294312
2025-12-08T11:41:29.506488,92.4,87.5,72.2,69.08126831054688,598.548017501831
2025-12-08T11:42:50.999583,36.7,86.4,72.2,69.39679908752441,598.7789993286133
2025-12-08T11:46:29.482118,47.9,87.2,72.2,72.92271995544434,600.681191444397
2025-12-08T11:47:50.843874,29.3,85.3,72.2,73.57161331176758,601.2551908493042
2025-12-08T11:51:29.513380,68.4,88.2,72.2,79.18869209289551,620.4849348068237
2025-12-08T11:52:50.998344,38.2,88.4,72.2,79.57751560211182,620.9565019607544
2025-12-08T11:56:29.480346,49.0,87.0,72.2,80.74422359466553,622.4759035110474
2025-12-08T11:57:50.957900,41.8,86.4,72.2,81.165771484375,622.9634342193604
2025-12-08T12:01:29.516615,32.0,90.1,72.3,84.21549320220947,627.7756299972534
2025-12-08T12:02:50.957199,79.5,85.8,72.3,85.38959312438965,629.5761642456055
2025-12-08T12:06:29.440382,27.6,87.8,72.3,87.43795013427734,637.0995073318481
2025-12-08T12:07:50.946453,17.8,87.8,72.3,87.58358669281006,637.2374963760376
2025-12-08T12:11:29.498013,38.2,87.7,72.3,88.00220680236816,637.7101287841797
2025-12-08T12:12:50.947439,31.0,87.9,72.3,88.33867263793945,638.0532693862915
2025-12-08T12:16:29.559396,53.1,93.0,72.3,90.96956539154053,645.2744274139404
2025-12-08T12:17:51.001072,29.1,92.3,72.3,91.31463527679443,645.6958570480347
2025-12-08T12:21:29.706326,96.3,96.4,72.4,95.00745487213135,648.5215654373169
2025-12-08T12:22:51.073952,25.1,88.8,72.4,95.60535049438477,649.257007598877
2025-12-08T12:26:29.491182,58.4,90.5,72.4,97.2700777053833,651.204553604126
2025-12-08T12:27:50.938753,36.2,86.2,72.5,97.91265773773193,652.0443258285522
2025-12-08T12:31:29.474520,52.5,87.0,72.5,98.47929286956787,652.7279644012451
2025-12-08T12:32:50.937394,26.4,86.5,72.5,98.5692548751831,652.8016042709351
2025-12-08T12:36:29.469105,30.6,82.9,72.2,99.44071197509766,674.010461807251
2025-12-08T12:37:50.929889,25.2,82.1,72.2,99.5260009765625,674.0895643234253
2025-12-08T12:41:29.468988,23.6,84.7,72.2,101.21722221374512,675.2429275512695
2025-12-08T12:42:50.979689,66.7,84.0,72.2,101.71696949005127,675.6864166259766
2025-12-08T12:46:29.457462,3.9,87.6,72.3,103.83588218688965,677.0099229812622
2025-12-08T12:47:50.844666,11.9,86.4,72.3,104.90642929077148,677.3119592666626
2025-12-08T12:51:29.574905,97.7,90.5,72.3,107.18590068817139,678.5546216964722
2025-12-08T12:52:50.928235,16.9,86.8,72.3,107.76532649993896,678.942816734314
2025-12-08T12:56:29.479728,15.2,88.9,72.3,108.9049129486084,680.1316337585449
2025-12-08T12:57:50.959074,2.7,89.7,72.3,109.25123882293701,680.6590032577515
2025-12-08T13:01:29.607411,27.0,93.2,72.3,110.26525211334229,681.9597187042236
2025-12-08T13:02:51.011566,52.5,91.7,72.3,110.88842391967773,682.5071353912354
2025-12-08T13:06:29.544320,17.5,91.3,72.3,114.34889030456543,685.8906984329224
2025-12-08T13:07:51.013448,15.8,90.4,72.3,114.42733860015869,685.959454536438
2025-12-08T13:11:29.620390,23.6,92.1,72.3,115.07241439819336,687.0676374435425
2025-12-08T13:12:51.046828,12.1,88.8,72.3,115.21733283996582,687.199520111084
2025-12-08T13:16:29.463625,22.6,89.4,72.3,116.62439918518066,688.809289932251
2025-12-08T13:17:51.005084,29.3,89.8,72.3,118.61218166351318,694.7603597640991
2025-12-08T13:21:29.609553,60.2,93.0,72.3,119.63797664642334,698.915340423584
2025-12-08T13:22:51.110302,37.9,88.5,72.3,120.32319927215576,708.6267356872559
2025-12-08T13:26:29.499013,33.7,87.9,72.4,121.48732948303223,709.8147535324097
2025-12-08T13:27:50.974923,52.3,89.8,72.4,123.3115177154541,711.8122053146362
2025-12-08T13:31:29.648221,51.7,93.2,72.4,126.08073616027832,713.6479415893555
2025-12-08T13:32:51.136547,80.1,91.8,72.4,127.16351890563965,721.1082849502563
2025-12-08T13:36:29.729587,51.0,92.6,72.2,129.92328453063965,735.5393218994141
2025-12-08T13:37:51.081360,50.8,93.4,72.2,130.73000526428223,737.7405204772949
2025-12-08T13:41:30.101981,97.5,93.2,72.2,132.8313512802124,751.6187677383423
2025-12-08T13:42:51.318412,71.2,94.6,72.2,133.74127769470215,765.2304315567017
2025-12-08T13:46:31.119028,79.9,91.6,72.2,135.47876358032227,776.5066518783569
2025-12-08T13:47:51.039439,38.2,88.3,72.1,135.92210960388184,780.055006980896
2025-12-08T13:51:29.672945,63.7,92.9,72.1,138.36398315429688,847.6242275238037
2025-12-08T13:52:50.974514,61.8,92.3,72.2,138.71556663513184,879.5119228363037
2025-12-08T13:56:41.042229,100.0,92.2,72.2,145.54191780090332,1029.8542308807373
